,loc_neighborhood,loc_City,coffee_shop_density,business_density,mean_price,mean_rating,mean_review_count,mean_goog_search,Avg_income_neighborhood,geom_mean_tt,rating_stdev,review_stdev,pct_fancy_donuts,pct_bakeries,pct_corporate,pct_tea_and_juice,pct_grab_and_go,pct_third_wave,pct_independent,Avg_Utility_Score,Count
2880,Acorn,Oakland,4.452945745404069,6389.977144654838,1.0,3.25,39.0,1.5,139153.333,975.06,1.7677669529663689,35.35533905932738,0.5,0.0,0.0,0.0,0.5,0.0,0.5,92.31649999999999,2
2928,Acorn Industrial,Oakland,4.681753537807971,6718.316326754439,1.5,4.75,65.5,5.5,139153.333,975.06,0.3535533905932738,19.091883092036785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.7415,2
2797,Adams Point,Oakland,12.777610806953488,8854.884289218768,1.5555555555555556,4.111111111111111,295.55555555555554,2.7777777777777777,369398.5,975.0599999999997,0.7817359599705717,326.3307796971928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1488.4906666666666,9
2876,Allendale,Oakland,2.9894567797194065,914.7737745941384,1.0,4.25,489.5,0.0,187212.833,975.06,0.3535533905932738,560.7356774809322,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2505.875,2
2848,Arrowhead Marsh,Oakland,0.48935446120105014,392.4622778832422,1.5,2.75,99.0,2.0,80363.0,975.06,1.0606601717798212,83.43860018001261,0.0,0.0,0.5,0.0,0.0,0.0,0.5,220.39999999999998,2
2818,Bushrod,Oakland,4.001451918837531,2949.07006418326,1.0,3.9,231.6,3.0,150079.5,975.0599999999998,0.4183300132670378,88.96235158762386,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1053.0366000000001,5
2825,Castlemont,Oakland,1.5977916550748645,556.0314959660528,1.0,5.0,29.0,0.0,232184.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140.167,1
2796,Chinatown,Oakland,48.04113210264668,65111.74770978713,1.0555555555555556,3.6944444444444446,257.3888888888889,1.1111111111111112,131422.59227777782,975.0599999999997,0.7099894135268927,292.8001002267767,0.05555555555555555,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,1228.6527777777778,18
2798,Civic Center,Oakland,23.467882578453512,31695.0516995285,1.4285714285714286,3.7142857142857144,92.28571428571429,1.1428571428571428,192538.35700000002,975.0599999999997,0.9940297973880049,53.27824535935308,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,371.5334285714286,7
2826,Clawson,Oakland,1.631237815805575,1937.9105251770231,2.0,3.25,55.5,4.5,214694.5,975.06,1.0606601717798212,45.96194077712559,0.0,0.5,0.5,0.0,0.0,0.0,0.5,197.925,2
2820,Cleveland Heights,Oakland,2.4518607130053884,1483.3757313682602,1.0,4.0,188.33333333333334,5.0,226415.27800000002,975.06,0.5,39.31072796748152,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,843.3556666666667,3
2854,Clinton,Oakland,2.7430592185946416,1538.8562216315938,1.0,3.75,258.0,2.5,154923.667,975.06,0.3535533905932738,185.26197667087544,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1226.2415,2
2882,Coliseum Industrial,Oakland,0.6334681256199308,479.3242150524143,1.6666666666666667,3.6666666666666665,91.66666666666667,1.6666666666666667,105921.66666666667,975.06,0.7637626158259733,139.77601129426083,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,412.23333333333335,3
2828,Dimond,Oakland,21.34719954874538,8837.740613180587,1.625,4.25,165.0,1.75,238533.5,975.0599999999997,0.4629100498862758,125.66963492768309,0.0,0.125,0.125,0.0,0.0,0.0,0.875,757.714625,8
2837,Downtown,Oakland,62.874256993711974,107845.40374600166,1.4042553191489362,4.095744680851064,145.06382978723406,2.74468085106383,107404.43259574467,975.0599999999997,0.4378591429297539,164.6719273685553,0.0425531914893617,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0,0.0,0.8723404255319149,658.488255319149,47
2799,East Peralta,Oakland,4.582968951403329,2571.0455817372676,1.1666666666666667,4.0,251.16666666666666,3.1666666666666665,154923.667,975.0599999999998,0.4472135954999578,379.71853611150806,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,1327.3528333333334,6
2829,Eastmont,Oakland,1.6740995642390628,582.5866483551939,1.0,3.0,1.0,0.0,232184.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,1
2827,Fairview Park,Oakland,5.620626032632816,2726.003625826916,1.5,4.25,324.75,5.25,303592.5,975.06,0.28867513459481287,248.0179764990164,0.0,0.25,0.0,0.25,0.0,0.0,0.75,1679.55,4
2925,Fruitvale Station,Oakland,15.545030893567755,10352.990575116126,1.2857142857142858,4.214285714285714,219.28571428571428,2.142857142857143,157039.0,975.0599999999997,0.39339789623472154,160.3628326490839,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1148.6357142857141,7
2831,Gaskill,Oakland,2.922191570450608,2153.655187422098,1.0,4.5,16.0,0.0,150079.5,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.6,1
2891,Glenview,Oakland,2.226534008089849,921.7850793491974,1.6666666666666667,3.5,483.3333333333333,0.0,238533.5,975.06,0.5,396.77743551433633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2319.85,3
2838,Golden Gate,Oakland,9.443040975163099,11218.332678493762,1.5,4.125,301.5,3.75,214694.5,975.06,0.25,230.46691736559504,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1409.91675,4
